displacement,kilowatts,mileage,price,year,transmission_encoded,type_encoded
3.0,210,1,139000,2019,2,6
2.0,150,1,115000,2022,2,6
3.0,210,1,183377,2022,2,6
2.0,110,1,74500,2022,2,2
2.0,85,1,56400,2022,0,2
2.0,110,1,79000,2022,2,6
3.0,210,1,168643,2022,2,6
2.0,150,1,123000,2022,2,6
2.0,150,1,143154,2022,2,6
2.0,150,1,114000,2022,2,4
0.6,350,1,266000,2022,2,6
2.0,110,1,69000,2022,2,3
3.0,210,1,186721,2023,2,6
3.0,210,1,187469,2023,2,6
3.0,210,1,189673,2023,2,6
2.0,147,1,109485,2023,2,6
2.0,85,1,61100,2023,2,2
2.0,85,1,60150,2023,2,2
2.0,85,1,56600,2023,0,2
2.0,110,1,91180,2023,2,6
2.0,85,1,61608,2023,2,2
2.0,85,1,62500,2023,2,6
3.0,210,1,173058,2023,2,6
3.0,210,1,185244,2023,2,6
3.0,210,1,188016,2023,2,6
2.0,85,1,58100,2023,0,2
2.0,84,1,56600,2023,0,2
2.0,110,1,106566,2023,2,6
2.0,147,1,110404,2023,2,6
2.0,147,1,116957,2023,2,6
2.0,110,1,97108,2023,2,6
2.0,85,1,58600,2023,0,2
2.0,110,1,94741,2023,2,6
0.6,300,1,249311,2023,2,6
2.0,150,1,139493,2023,2,6
2.0,110,1,116371,2023,2,6
2.0,140,1,94835,2023,2,6
2.0,110,1,95048,2023,2,6
2.5,294,1,168716,2023,2,6
2.0,85,1,56600,2023,0,2
2.0,85,1,60476,2023,2,2
2.0,150,1,142045,2023,2,6
3.0,210,1,177416,2023,2,6
2.0,85,1,60476,2023,2,2
2.0,150,1,142045,2023,2,6
2.0,147,1,121461,2023,2,6
2.0,85,1,61309,2023,2,2
2.0,85,1,60476,2023,2,2
2.9,331,1,223012,2023,2,4
2.0,150,1,123373,2023,2,6
2.0,85,1,60650,2023,2,2
2.0,110,1,98108,2023,2,6
2.0,110,1,79800,2023,2,6
2.0,85,1,60650,2023,2,2
2.0,110,1,69140,2023,2,3
2.0,110,1,78350,2023,2,3
2.0,110,1,69140,2023,2,3
2.0,108,1,70700,2023,2,3
2.0,110,1,78350,2023,2,3
3.0,210,1,188294,2023,2,3
3.0,340,1,284664,2023,2,3
2.0,150,1,142605,2023,2,3
2.0,110,1,69150,2023,2,3
2.0,110,1,70700,2023,2,3
2.0,150,1,104500,2023,2,3
2.0,110,1,69140,2023,2,3
3.0,210,1,199201,2024,2,6
4.0,373,1,275372,2024,2,6
3.0,210,1,177771,2024,2,6
2.0,85,1,62100,2024,2,2
2.0,110,1,99777,2024,2,6
4.0,373,1,257554,2024,2,6
2.0,142,1,120592,2024,2,6
3.0,210,1,168460,2024,2,3
2.0,110,1,69140,2024,2,3
2.0,110,1,79450,2024,2,3
3.0,340,1,259000,2024,2,3
2.0,110,1,69140,2024,2,3
2.0,110,1,71450,2024,2,3
2.0,110,1,71450,2024,2,3
2.0,150,1,147979,2024,2,3
2.0,105,2,28250,2012,0,5
2.0,125,2,31250,2014,2,5
3.0,200,2,44900,2015,2,3
3.0,190,2,49900,2015,2,3
3.0,240,2,61900,2015,2,3
2.5,132,200000,4850,2002,0,3
2.0,110,3,19999,2013,0,2
3.0,180,3,22000,2013,0,3
2.0,100,3,25500,2014,0,5
3.0,180,3,25500,2014,0,3
2.0,110,3,22800,2014,2,3
3.0,210,20,232300,2024,2,6
2.0,130,25,25900,2013,2,3
3.0,200,30,65000,2015,2,6
2.0,140,41,74900,2020,2,3
1.0,220,100,165000,2023,2,6
1.9,81,200000,4800,2002,0,2
2.0,130,120,39000,2014,2,6
3.0,240,126,75000,2017,2,3
2.0,130,129,35900,2012,0,6
3.0,160,139,45999,2016,2,3
2.0,130,144,35000,2013,0,3
3.0,170,144,86900,2019,2,3
3.0,180,145,41000,2016,2,5
3.0,230,149,60000,2015,2,6
3.0,160,150,52900,2015,2,3
2.0,100,150,45000,2016,0,3
2.0,110,150,31500,2016,0,3
1.6,86,155,36700,2017,0,2
3.0,190,160,78000,2016,2,3
2.0,180,170,58500,2017,2,3
2.0,140,172,35999,2018,2,3
2.0,110,173,38900,2017,0,3
3.0,210,175,110000,2019,2,3
2.0,125,178,38000,2012,2,6
3.0,150,179,33000,2012,2,3
2.0,140,183,33500,2015,2,5
3.0,210,189,70000,2018,2,3
2.0,144,190,53000,2017,2,3
1.6,85,190,39000,2019,2,2
2.0,150,193,20000,2014,0,2
2.0,110,197,26000,2013,0,3
3.0,210,198,79000,2018,2,3
1.4,75,200000,3900,2002,0,2
2.0,130,200,32000,2012,0,6
3.0,150,200,38500,2012,2,3
2.0,120,200,29000,2013,0,3
2.0,160,200,25800,2014,0,2
1.9,96,200,11000,2016,2,2
2.0,140,200,72000,2017,2,5
3.0,210,200,82000,2018,2,3
1.3,222,200,20000,2019,0,3
2.0,90,200,33500,2019,2,3
2.0,140,201,60000,2017,2,6
3.0,150,203,33000,2013,2,3
1.6,81,205,27500,2015,2,2
1.6,77,208,16700,2013,0,2
3.0,150,210,33300,2013,2,3
3.0,160,214,47000,2015,2,3
1.6,77,217,21900,2013,0,2
2.0,130,220,32100,2012,2,3
3.0,230,220,36800,2012,2,3
2.0,130,220,32000,2013,2,6
2.0,130,220,32000,2013,2,6
3.0,180,220,25750,2013,0,3
2.0,140,220,43900,2015,2,3
2.0,110,220,53000,2017,2,5
3.0,200,220,65999,2017,2,3
2.0,135,221,39000,2015,2,6
3.0,150,229,29600,2013,2,3
2.0,120,230,31000,2012,0,6
3.0,230,230,47600,2012,2,3
3.0,190,230,36900,2014,2,6
3.0,245,230,39900,2014,2,5
3.0,240,230,64900,2015,2,3
3.0,160,230,39000,2015,2,3
3.0,210,230,79999,2018,2,3
2.0,130,232,32900,2012,0,3
1.6,77,234,20100,2013,0,2
2.0,130,235,26500,2013,2,3
4.0,320,235,100000,2016,2,6
2.0,130,239,28500,2012,0,3
2.0,130,239,33000,2012,2,3
1.6,81,239,24000,2014,0,2
2.0,110,239,25000,2014,2,3
2.0,110,239,34500,2016,2,2
3.0,180,240,33000,2012,2,6
2.0,100,240,16000,2012,2,3
3.0,160,240,72000,2015,2,6
2.0,140,240,53750,2017,2,6
2.0,120,243,32950,2012,0,3
2.0,130,246,36500,2012,2,6
2.0,130,246,36500,2012,2,6
3.0,230,247,36000,2012,2,3
2.0,125,248,18050,2012,0,2
2.0,110,248,34500,2017,0,3
2.0,140,250,62000,2017,2,5
2.0,130,252,30990,2013,2,5
3.0,150,252,30900,2013,2,3
1.6,77,256,21999,2013,0,2
2.0,88,256,24300,2013,0,3
1.8,120,200000,5200,2002,0,3
2.0,105,260,32900,2012,0,5
3.0,150,260,31000,2012,2,5
3.0,150,260,35500,2012,2,3
2.0,110,260,23000,2013,0,2
3.0,190,260,58900,2014,2,3
3.0,160,260,55000,2015,2,3
2.0,140,260,35000,2017,2,3
2.0,110,262,25999,2013,2,2
2.0,140,262,42900,2015,2,3
2.0,105,263,19750,2012,2,3
2.0,130,265,26000,2012,2,6
3.0,150,265,29000,2012,2,3
3.0,180,269,26000,2014,2,5
2.0,130,270,25499,2012,0,3
3.0,190,270,29900,2012,2,3
3.0,230,270,40000,2014,2,6
3.0,150,270,39999,2014,2,3
3.0,160,270,49999,2014,2,3
2.0,110,270,39499,2015,2,3
2.0,130,273,34000,2013,2,5
3.0,125,275,27900,2012,2,4
3.0,160,275,44000,2016,2,3
1.9,96,200000,7900,2002,0,3
1.6,66,280,15500,2012,0,2
3.0,230,280,39900,2013,2,3
2.0,130,281,28900,2012,2,3
3.0,180,285,31000,2012,2,3
3.0,180,285,31000,2012,2,3
3.0,230,285,45000,2013,2,4
2.0,110,290,27900,2012,0,5
3.0,180,290,32200,2012,2,3
2.0,130,290,29000,2013,2,3
3.0,180,290,33999,2014,2,4
2.5,132,200000,6500,2002,0,3
2.0,96,200000,5600,2002,0,3
1.9,96,200000,5700,2002,0,3
3.0,150,300,28900,2012,2,3
2.0,130,300,24900,2012,2,3
3.0,150,300,27900,2012,2,3
2.0,110,300,25000,2013,0,2
2.0,110,300,23500,2013,0,2
2.0,110,300,23000,2013,0,2
2.0,130,300,26900,2013,0,3
2.0,105,300,26500,2014,2,5
3.0,150,308,11000,2013,2,3
1.9,74,200000,4700,2002,0,2
2.0,100,320,24950,2013,0,3
1.9,96,200000,7200,2002,0,3
2.5,114,200000,4900,2002,2,3
2.0,88,325,24000,2014,0,3
1.9,96,200000,7500,2002,0,3
1.9,96,200000,7700,2002,0,3
3.0,160,330,45000,2017,2,3
3.0,180,332,33200,2013,2,3
1.9,96,200000,7200,2002,0,3
2.5,132,200000,6000,2002,2,3
1.9,96,200000,6200,2002,0,3
2.0,130,385,25900,2013,0,3
2.5,120,200000,4400,2002,0,3
1.8,120,200000,3500,2002,0,3
2.0,110,1234,69990,2022,2,3
2.0,110,1234,65700,2022,2,3
2.0,150,1234,133700,2023,2,5
2.5,294,1234,174990,2023,2,6
2.0,150,1234,129700,2023,2,5
2.0,150,1234,134990,2023,2,5
2.0,150,1234,129900,2023,2,5
2.0,150,1234,114990,2023,2,3
2.0,150,1234,109990,2023,2,3
2.0,150,1234,114990,2023,2,3
