displacement,kilowatts,mileage,price,year,transmission_encoded,type_encoded
1.4,50,173000,3500,2002,0,0
1.9,47,323000,4990,2003,0,0
1.9,81,343420,4000,2000,0,2
1.9,66,346000,3700,1999,0,2
1.2,47,300000,3900,2004,0,0
1.6,75,258336,4700,2000,0,2
1.3,43,88000,2900,2001,0,0
1.2,47,292352,3600,2004,0,0
1.2,40,285000,3400,2004,0,0
1.9,66,244000,2700,2001,0,2
1.4,50,205000,3200,2003,0,0
1.2,55,250000,9500,2010,0,0
1.2,55,280000,8900,2010,0,0
1.6,77,245000,8400,2008,0,0
1.9,74,270000,4600,2001,0,2
1.2,55,238000,9300,2010,0,0
1.6,75,335883,7999,2008,0,2
1.2,55,226456,7999,2011,0,0
1.9,77,253213,7800,2007,2,2
1.6,75,306000,5750,2007,0,2
1.4,51,267000,5900,2007,0,0
1.6,66,168000,9900,2011,0,0
1.2,44,162000,8999,2011,0,0
1.6,77,273000,11400,2011,0,2
1.6,77,260000,11800,2011,0,2
1.6,77,230000,12900,2011,2,2
1.6,55,222936,12450,2013,0,0
1.8,118,233000,11500,2010,2,2
1.6,77,206855,10800,2009,0,2
2.0,103,300000,12000,2010,0,2
2.0,103,300000,13000,2010,0,2
2.0,125,309000,15000,2009,0,4
1.6,77,302700,10500,2011,0,2
1.6,77,232000,12000,2011,2,2
1.6,66,186000,9800,2010,0,0
1.6,66,228000,10800,2013,0,0
1.2,77,239737,11000,2010,0,1
1.6,66,190000,10900,2013,0,0
1.8,118,253079,11700,2012,0,2
1.9,77,150000,10000,2007,0,2
1.6,77,226330,11400,2010,0,2
1.6,77,275000,16600,2013,0,2
2.0,103,171000,15400,2010,0,2
1.6,77,287000,18000,2014,2,2
1.4,66,168000,14500,2016,0,2
2.0,103,204000,15800,2010,0,5
2.0,103,226124,16000,2010,0,2
2.0,110,216000,18500,2014,2,2
1.6,75,197500,17900,2014,0,2
1.6,77,249000,15400,2012,0,5
1.6,81,241000,19900,2014,0,2
1.6,81,170000,19900,2015,0,2
1.6,77,267000,15999,2013,0,2
1.4,55,205000,15900,2018,0,0
1.4,132,148000,16500,2012,2,4
1.4,66,140000,16499,2018,0,0
2.0,110,290000,19500,2014,2,2
1.2,77,224000,15990,2014,0,2
1.4,66,127000,18100,2018,0,2
1.6,77,197000,19499,2013,0,2
2.0,103,239123,16500,2010,2,5
2.0,81,240000,19999,2014,0,5
2.0,103,249028,14950,2009,0,5
2.0,103,245000,16700,2010,0,3
2.0,81,233000,15500,2011,0,5
1.6,77,208000,19700,2013,0,2
1.6,77,223000,16950,2015,0,2
2.0,103,274000,15900,2011,0,5
1.6,81,206091,20400,2016,0,2
1.6,81,243085,19900,2016,0,2
1.6,81,191000,24000,2017,0,2
1.6,81,201000,23900,2018,0,2
1.6,77,225432,19000,2013,0,2
1.6,85,226000,23900,2017,2,2
2.0,110,204000,23900,2015,0,5
1.6,66,180000,23500,2016,0,2
2.0,125,180500,19500,2014,0,2
2.0,125,230000,19999,2013,2,2
1.6,85,286000,22700,2017,0,2
1.6,85,319000,24300,2018,2,2
1.6,85,185000,21850,2017,0,2
1.6,85,176000,20700,2017,0,2
1.6,77,173000,22200,2015,0,2
2.0,81,257000,21600,2013,0,2
1.6,77,154000,20500,2013,0,2
1.6,77,356000,19000,2014,2,2
1.6,85,179000,24400,2018,0,2
2.0,110,239159,19990,2014,0,2
1.6,85,112000,23800,2017,0,2
1.6,80,176000,23000,2016,2,2
1.6,81,254369,22500,2016,2,2
1.6,81,199000,23400,2017,0,2
1.6,81,237000,23500,2014,0,2
2.0,110,221254,22000,2013,2,2
1.6,88,180000,28990,2016,0,2
2.0,110,285000,27000,2018,2,2
1.6,85,135000,26000,2018,0,2
1.6,66,86000,28700,2018,0,2
2.0,110,250919,26999,2019,2,2
1.6,77,133156,24300,2016,0,2
1.6,85,187000,24950,2019,2,2
1.6,85,151598,25500,2018,0,2
1.6,81,275000,24000,2019,0,2
1.8,132,115000,23000,2016,2,2
1.6,81,175000,25300,2013,0,2
1.6,85,184000,29900,2019,2,2
1.8,132,224600,21500,2018,2,2
1.6,85,201200,27600,2018,2,2
2.0,125,188000,26000,2014,2,2
1.6,85,211000,25500,2018,2,2
1.6,85,280000,25000,2017,2,2
1.6,81,76000,26300,2018,0,2
2.0,135,290000,27999,2018,2,2
1.6,85,195000,24900,2019,2,2
1.6,85,205000,25900,2017,2,2
1.6,85,223542,28500,2018,2,2
1.6,81,70000,27900,2018,0,2
1.6,85,140000,27500,2018,0,2
2.0,120,160000,26000,2015,2,2
2.0,135,198551,27989,2017,2,2
2.0,140,233320,29900,2015,0,2
1.6,85,154000,29800,2018,2,2
2.0,103,237713,25900,2015,0,5
2.0,110,204000,27500,2015,0,2
1.6,85,208000,34000,2018,2,2
1.6,85,110173,34980,2018,2,2
2.0,140,248000,45000,2018,2,2
1.6,88,78000,39200,2018,0,2
1.6,85,188918,31500,2019,2,2
1.5,110,1,60987,2023,2,5
2.0,110,1,78260,2023,2,2
2.0,110,1,74499,2023,0,2
2.0,147,1,89847,2023,2,2
2.0,110,196000,47900,2018,2,5
2.0,110,129999,38990,2020,2,2
2.0,110,123000,44990,2019,2,3
2.0,135,98000,41990,2020,2,2
2.0,140,243000,33990,2016,2,2
2.0,110,245000,31800,2019,2,2
2.0,143,175000,31900,2017,2,4
2.0,110,81601,54900,2018,0,5
2.0,85,3,51583,2023,0,2
2.0,110,200,33999,2019,2,2
1.6,88,185000,35000,2017,2,2
2.0,110,1,83500,2023,2,2
2.0,147,0,99969,2023,2,5
1.5,110,0,60430,2023,2,5
1.5,110,5,63560,2023,2,2
2.0,110,1,86500,2023,2,5
1.4,55,335725,3300,2004,0,0
1.2,47,200000,4900,2005,0,0
1.9,74,300000,5000,2001,0,0
1.9,81,500000,3500,2000,0,2
1.8,92,230000,3200,1998,0,2
1.3,50,1900,2300,2001,0,0
1.9,77,290000,4850,2002,0,0
1.6,118,280000,2500,1999,0,2
2.0,85,310000,3800,2000,0,2
1.9,81,365000,4000,2002,0,2
1.9,66,270000,3900,2003,0,2
1.4,50,263000,4000,2002,0,0
1.9,81,380000,4700,2000,0,2
1.2,40,297483,4900,2005,0,0
2.0,85,298000,4500,2002,0,2
1.2,55,226000,8700,2011,0,0
1.9,77,229000,8500,2007,0,2
1.2,47,171400,5150,2006,0,0
1.9,74,150000,5700,2003,0,0
1.2,44,127600,7900,2008,0,0
1.2,44,206000,7999,2012,0,0
1.2,51,268000,6750,2008,0,0
1.2,55,215400,8400,2011,0,0
1.9,74,300000,5300,2000,0,0
1.9,74,150000,8000,2007,0,0
1.6,66,288000,9999,2012,0,0
1.2,55,244000,8500,2010,0,0
1.2,55,200000,8800,2010,0,0
1.9,76,150000,8300,2006,2,2
1.4,63,169000,7800,2008,0,0
1.2,55,274000,7450,2010,0,0
1.9,74,235950,5800,2004,0,2
1.6,66,214000,9900,2010,0,1
1.4,90,232000,11200,2010,0,2
1.2,77,188000,11900,2012,0,2
1.6,77,246368,10800,2012,0,0
1.6,55,253000,12400,2014,0,0
1.6,77,274321,12950,2010,0,2
1.6,66,194000,11900,2010,0,0
2.0,103,254700,14500,2011,0,2
1.6,77,205000,12490,2011,0,0
1.6,77,270000,12950,2011,0,2
2.0,81,294213,13500,2010,0,5
1.6,77,270143,12500,2010,2,2
1.6,77,237696,11500,2009,0,2
1.6,77,286000,12250,2011,0,2
1.6,77,205132,12900,2011,0,2
1.2,55,164000,10900,2012,0,1
