displacement,kilowatts,mileage,price,year,rimSize
2.0,140.0,145000.0,75900,2020.0,16.0
3.0,230.0,182000.0,52990,2015.0,21.0
2.0,130.0,205000.0,36999,2012.0,19.0
2.0,103.0,200000.0,32000,2013.0,19.0
3.0,190.0,230.0,36900,2014.0,18.0
2.0,120.0,200000.0,45900,2018.0,17.0
4.2,258.0,247000.0,49800,2013.0,21.0
2.0,140.0,190000.0,59900,2017.0,18.0
2.0,140.0,208000.0,48000,2016.0,19.0
3.0,210.0,188000.0,79900,2018.0,20.0
3.0,200.0,139000.0,59900,2016.0,19.0
3.0,210.0,126000.0,92999,2018.0,20.0
3.0,170.0,137000.0,78990,2019.0,19.0
3.0,210.0,144000.0,76930,2018.0,20.0
2.0,130.0,201000.0,33000,2012.0,16.0
3.0,176.0,245000.0,32000,2011.0,21.0
2.0,120.0,156000.0,59980,2018.0,16.0
1.6,85.0,86000.0,35700,2018.0,16.0
3.0,176.0,199500.0,30999,2011.0,19.0
3.0,200.0,85000.0,87900,2018.0,19.0
2.0,110.0,235000.0,41500,2015.0,19.0
2.0,140.0,152883.0,37589,2017.0,17.0
2.0,143.0,227163.0,31500,2012.0,20.0
3.0,190.0,160121.0,125500,2019.0,16.0
3.0,210.0,151000.0,119000,2020.0,20.0
3.0,210.0,55000.0,103000,2018.0,20.0
3.0,190.0,104752.0,79000,2017.0,21.0
4.0,320.0,124277.0,129990,2017.0,22.0
3.0,257.0,36788.0,165990,2020.0,21.0
3.0,210.0,82835.0,162990,2019.0,22.0
3.0,210.0,82275.0,139990,2019.0,21.0
2.0,228.0,0.0,109900,2022.0,19.0
3.0,210.0,67336.0,134990,2020.0,19.0
3.0,210.0,109322.0,133990,2019.0,21.0
3.0,210.0,75879.0,94990,2019.0,19.0
3.0,210.0,89000.0,135000,2019.0,20.0
3.0,210.0,155000.0,139900,2018.0,16.0
3.0,210.0,159000.0,139900,2019.0,22.0
2.0,150.0,1234.0,114990,2023.0,19.0
2.0,150.0,1234.0,133700,2023.0,20.0
2.0,150.0,1234.0,109990,2023.0,16.0
3.0,170.0,0.0,179970,2023.0,22.0
3.0,170.0,0.0,179970,2023.0,21.0
3.0,210.0,0.0,239508,2023.0,20.0
3.0,210.0,72000.0,115900,2019.0,19.0
3.0,210.0,0.0,128900,2018.0,16.0
3.0,210.0,80000.0,129990,2020.0,16.0
3.0,210.0,66876.0,99990,2019.0,18.0
3.0,210.0,62171.0,98990,2019.0,19.0
2.0,150.0,1234.0,114990,2023.0,19.0
2.0,147.0,0.0,124888,2023.0,19.0
3.0,251.0,0.0,174900,2023.0,21.0
3.0,210.0,0.0,185770,2023.0,21.0
3.0,210.0,13000.0,159900,2023.0,20.0
4.0,441.0,80000.0,254900,2021.0,16.0
3.0,210.0,108039.0,153900,2020.0,16.0
3.0,210.0,65009.0,98990,2019.0,19.0
3.0,210.0,149998.0,149700,2021.0,21.0
