displacement,kilowatts,mileage,price,year,rimSize
3.0,173.0,283580.0,26900,2006.0,17.0
2.2,100.0,187000.0,32900,2014.0,18.0
2.2,125.0,301000.0,26900,2011.0,17.0
2.2,125.0,259000.0,24900,2009.0,17.0
1.5,80.0,207850.0,28500,2016.0,16.0
2.2,150.0,193500.0,39500,2014.0,17.0
3.0,70.0,29000.0,49950,1986.0,16.0
2.0,110.0,215000.0,65999,2018.0,17.0
2.2,143.0,61986.0,72900,2019.0,17.0
0.6,300.0,18700.0,100000,2020.0,20.0
3.0,190.0,181000.0,88000,2016.0,20.0
2.0,110.0,160500.0,55900,2018.0,16.0
1.5,85.0,146250.0,49900,2020.0,16.0
2.2,143.0,100000.0,53000,2018.0,16.0
2.2,130.0,119844.0,51000,2018.0,18.0
2.0,143.0,224000.0,55900,2018.0,19.0
2.2,100.0,139000.0,37900,2014.0,16.0
2.2,143.0,105000.0,85000,2018.0,16.0
2.0,110.0,108000.0,44500,2019.0,16.0
2.0,110.0,299500.0,51900,2016.0,19.0
3.0,190.0,166180.0,74900,2018.0,18.0
2.2,135.0,216000.0,64500,2017.0,18.0
2.2,120.0,250000.0,49990,2015.0,18.0
2.0,142.0,114000.0,81900,2017.0,16.0
1.5,80.0,126980.0,38980,2017.0,16.0
3.5,190.0,205000.0,67900,2017.0,19.0
3.0,190.0,192000.0,79000,2018.0,16.0
2.0,110.0,20450.0,84900,2020.0,18.0
3.0,210.0,188060.0,79999,2018.0,18.0
2.2,100.0,148000.0,36500,2016.0,18.0
2.2,150.0,233000.0,38900,2011.0,18.0
4.6,320.0,192000.0,39500,2010.0,19.0
3.0,270.0,163000.0,84900,2017.0,20.0
2.2,140.0,159000.0,49800,2019.0,16.0
2.2,120.0,150000.0,65900,2017.0,18.0
2.2,110.0,316000.0,32500,2013.0,16.0
2.0,180.0,35000.0,114000,2020.0,20.0
3.0,200.0,147000.0,136900,2020.0,20.0
3.0,243.0,71686.0,174980,2019.0,21.0
3.0,320.0,42000.0,204900,2019.0,21.0
3.0,250.0,107214.0,114990,2018.0,20.0
2.0,310.0,45000.0,105000,2020.0,16.0
3.0,210.0,77000.0,105000,2018.0,20.0
3.0,210.0,92083.0,115990,2018.0,20.0
3.0,250.0,137198.0,120990,2021.0,20.0
3.0,250.0,40740.0,139990,2019.0,20.0
2.0,143.0,55070.0,102990,2019.0,19.0
2.0,143.0,60317.0,109990,2019.0,19.0
2.0,143.0,125047.0,119990,2019.0,19.0
2.0,180.0,110589.0,121990,2019.0,20.0
2.0,180.0,119286.0,124990,2019.0,19.0
2.0,180.0,122602.0,120990,2019.0,20.0
3.0,243.0,127309.0,172990,2019.0,21.0
2.0,180.0,105211.0,129990,2019.0,20.0
2.0,235.0,10082.0,219990,2022.0,21.0
3.0,235.0,83025.0,199990,2021.0,20.0
3.0,200.0,101817.0,185990,2021.0,22.0
5.0,335.0,195000.0,95000,2016.0,16.0
2.0,180.0,81700.0,111990,2019.0,19.0
2.0,180.0,104860.0,96990,2019.0,19.0
3.0,210.0,34000.0,279900,2021.0,16.0
4.0,410.0,32460.0,159000,2017.0,20.0
4.0,470.0,89000.0,254990,2020.0,21.0
2.2,143.0,49000.0,110000,2020.0,18.0
4.0,345.0,179000.0,160000,2018.0,20.0
2.0,100.0,270000.0,6200,1988.0,16.0
1.6,60.0,160000.0,4700,2001.0,16.0
2.0,55.0,336174.0,4300,1991.0,16.0
2.6,125.0,300000.0,3200,2000.0,16.0
2.0,55.0,544824.0,2900,1990.0,16.0
2.3,97.0,390000.0,4700,1991.0,16.0
2.0,90.0,200000.0,4300,1995.0,15.0
2.5,66.0,256000.0,3150,1986.0,15.0
1.7,66.0,245000.0,3300,2000.0,15.0
2.0,100.0,305285.0,3200,1987.0,15.0
2.4,53.0,226000.0,9900,1982.0,14.0
1.5,70.0,171000.0,8800,2009.0,15.0
3.0,170.0,300000.0,8500,2007.0,16.0
2.0,80.0,238381.0,7800,2008.0,15.0
2.0,90.0,360000.0,7500,2004.0,16.0
2.2,90.0,400000.0,7999,2004.0,17.0
2.2,85.0,290000.0,5400,2001.0,16.0
2.0,103.0,320000.0,10000,2010.0,16.0
2.2,105.0,290000.0,5499,2002.0,16.0
2.0,55.0,370000.0,5200,1990.0,15.0
2.9,80.0,450000.0,4300,1991.0,16.0
1.5,70.0,185000.0,8500,2006.0,16.0
1.8,80.0,303000.0,9500,2006.0,16.0
2.2,85.0,350000.0,6000,2003.0,16.0
2.5,67.0,350000.0,6200,1989.0,16.0
3.2,165.0,261000.0,6950,2001.0,16.0
2.2,90.0,302000.0,6000,2003.0,15.0
2.7,125.0,311500.0,9500,2004.0,17.0
2.7,120.0,200000.0,10000,2003.0,16.0
2.2,100.0,308000.0,12500,2007.0,17.0
2.7,120.0,300000.0,10500,2001.0,16.0
2.2,150.0,298000.0,13999,2010.0,16.0
2.2,110.0,304000.0,10500,2004.0,16.0
2.2,100.0,258000.0,14900,2009.0,17.0
2.0,60.0,216000.0,9100,2010.0,16.0
4.0,191.0,280000.0,14000,2003.0,18.0
2.2,125.0,500000.0,10200,2007.0,16.0
2.7,120.0,260000.0,13250,2004.0,17.0
2.0,80.0,209000.0,10150,2011.0,16.0
3.2,136.0,390000.0,14900,1993.0,17.0
2.2,100.0,301000.0,14800,2007.0,17.0
2.0,103.0,243000.0,10300,2008.0,17.0
2.0,103.0,326000.0,11000,2007.0,16.0
2.2,125.0,225000.0,15200,2010.0,16.0
2.2,125.0,290000.0,13999,2007.0,16.0
3.2,160.0,176000.0,12500,1999.0,16.0
1.5,70.0,160393.0,11900,2012.0,16.0
3.0,140.0,305000.0,14700,2009.0,18.0
2.2,90.0,247000.0,12500,2008.0,16.0
2.7,125.0,197000.0,11700,2003.0,16.0
2.7,130.0,460000.0,9000,2003.0,18.0
2.2,110.0,435000.0,11650,2003.0,19.0
2.2,105.0,269804.0,10800,2002.0,17.0
3.0,140.0,249000.0,14999,2007.0,16.0
2.2,90.0,360000.0,13000,2006.0,17.0
2.2,100.0,240000.0,15700,2010.0,17.0
2.2,125.0,410000.0,17500,2009.0,16.0
2.2,150.0,298000.0,14999,2009.0,16.0
2.0,80.0,289000.0,18750,2012.0,16.0
2.2,100.0,288000.0,16500,2009.0,16.0
2.2,150.0,300000.0,19900,2009.0,16.0
2.2,88.0,265000.0,20000,2011.0,17.0
